LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
23,15,12.339439790259732,12.472783570576391,0.0,63.6318016419313,0.6013165317529723,8.195077030668024,4.254671703684773,14.837673941698945,28.905679838026384,33.28034963191411,61.16116572570074,63.60709528276895
24,1,13.413014269430708,15.471634525725296,0.0,73.96900032958315,0.35509034645897347,7.43721644130645,3.268147427640528,15.672999682657561,33.93347797342284,50.289828619768656,66.12639592639516,73.89057428555114
24,2,11.928774499636347,14.461931610771739,0.0,78.85755868135413,0.35509034645897347,6.229761920478515,4.154611811893492,12.383376164096656,33.97655443908996,45.50078711564552,59.99476643873433,78.66893075892763
24,3,11.926022951616114,14.67000702443965,0.0,80.68500546813301,0.35509034645897347,6.314643285569295,3.5492702691988764,11.653468354877162,34.16983098955029,44.02230061954813,58.59050091869141,80.46406042263824
24,4,12.132857979635244,14.244083633043205,0.0,81.63222830749808,0.5847741796625154,6.86769108555852,3.670788975354103,12.655943327751856,30.779878868231222,44.283587502555676,59.096962894454435,81.40687565336728
24,5,12.125815393901735,13.61448781328682,0.0,75.6544938183669,0.5847741796625154,7.518090220483413,3.9827646523062956,13.549070730276323,27.11068366496718,46.596188870007445,59.57216482888852,75.49367052847185
24,6,11.787699649052776,13.12261716463317,0.0,70.1532376046394,0.5847741796625154,7.506163823589393,3.6172915873922986,14.455369448038292,27.8336333954578,40.298740584017764,59.88456617299033,70.05055089032274
24,7,11.8539726182225,13.266168511603954,0.0,71.80166297984833,0.5847741796625154,7.375922797160439,3.247274159474205,14.954296695010214,26.238092831026094,42.565247708322595,60.1686554321072,71.68533290437072
24,8,11.647731444893374,12.87551329679394,0.0,69.51646701953811,0.5847741796625154,7.271568418401845,3.4292609608399145,13.971289947130384,26.044763982415294,38.80602931898427,60.28812570953454,69.42418360643792
24,9,11.859909466756934,12.906098574768624,0.0,71.53302321541356,0.5847741796625154,7.921934694243622,3.8417437510521255,15.20183606342561,25.67482116390608,36.70564934131436,60.439485207518864,71.42208783533444
24,10,11.800582437914702,12.637575088302906,0.0,67.10203757029312,0.525955954635077,8.083211087056945,4.294833764705647,14.32315824583002,26.430588046391186,34.720784591840165,61.5108614125371,67.04612580871547
24,11,11.798185053845907,12.527969752787218,0.0,64.41430717947607,0.4782516069193328,8.176364788910515,4.179937624208852,13.642600629183,26.749279590329074,33.761506164688285,63.09414919130633,64.40110559959435
24,12,11.975825267781225,12.691178054222183,0.0,64.5047488348976,0.48582015045611127,8.279402368705245,4.627157508086568,13.43281972649605,27.37082284973083,35.18317447301837,64.1974197539382,64.501675544088
24,13,12.165775449216095,12.67990293499323,0.0,64.09820731100152,0.5698227588211379,8.245717546742426,4.7067695504380485,13.905656352261728,27.680948745231042,36.991586298080996,63.06525711635913,64.08787780905507
24,14,12.244888851200697,12.528110478932499,0.0,62.01762404778108,0.5312569703006332,8.414732206742093,4.422807158816915,14.382871238365754,27.926671471120493,38.344049526278205,61.71875040846918,62.014635311387956
24,15,12.312656690874444,12.591918211515697,0.0,63.15426192810645,0.6013165317529723,8.2289886425077,4.186330152120029,14.837673941698945,27.21278525078227,39.63702231484023,60.623395004792755,63.128953258873274
25,1,13.795978596756033,16.603469592925258,0.0,84.89235020106021,0.35509034645897347,7.639644606115686,3.226050330618636,15.672999682657561,33.93347797342284,51.26415606759238,70.51065359362862,84.74853323498566
25,2,12.059317961704346,14.506684851569378,0.0,65.66313725880366,0.35509034645897347,6.229761920478515,3.9975954180784847,12.383376164096656,33.97655443908996,45.87271867939094,59.86282222450876,65.60513410846062
25,3,12.145867470978343,14.389426801090961,0.0,64.95937108915246,0.35509034645897347,6.538406445470288,3.5305573150932164,12.274131016162404,34.16983098955029,44.049629657237936,62.66509888619709,64.93642836712286
25,4,11.935581322094059,13.517903729075684,0.0,69.66862064929111,1.009693341483043,6.86769108555852,3.670788975354103,12.655943327751856,30.779878868231222,43.7002343413426,61.89140909165999,69.59084853371468
25,5,12.05487144660243,13.35131544101265,0.0,72.56869378942633,1.1104561167638174,7.518090220483413,4.039061539747213,13.549070730276323,27.11068366496718,37.677718140614395,61.539884265130254,72.4584056941832
25,6,11.755467512496661,13.063068437547042,0.0,74.52911924413853,1.1680183031302303,7.506163823589393,3.6172915873922986,13.141092022242413,27.8336333954578,40.101795432125044,59.928324989385345,74.38311130159076
25,7,11.683226444955089,12.82476458795849,0.0,71.86087287153305,0.9562449455345101,7.497987471388855,3.6637899402706298,13.822380652988787,26.238092831026094,40.398401881282304,60.16924753102405,71.74395661812777
25,8,11.699325966007175,12.697477494383415,0.0,70.23251566856278,0.7517370278081411,7.429723221941977,3.5335529463724553,14.366035746009503,26.044763982415294,40.8747860629071,60.29528619602479,70.13314337383724
25,9,11.780090411775877,12.451547420485042,0.0,66.81831106896283,0.5996685508090707,7.921934694243622,3.8417437510521255,14.322650935483345,25.411695687437724,41.70153844083655,60.39233808605433,66.75405133913364
25,10,11.774344962614286,12.17231898620773,0.0,64.18221770284038,0.525955954635077,7.9651556391179525,4.332625977641989,14.32315824583002,25.994718067194466,40.102017462421124,60.483760671453425,64.14523313252644
25,11,11.766775164893732,12.331518216785524,0.0,65.64773541372779,0.4782516069193328,7.994625122187873,4.3844754224343445,13.642600629183,26.75650084795941,40.955632632451604,60.59784738310813,65.59723653342151
25,12,11.85504880754096,12.313578160194794,0.0,64.93720705985984,0.48582015045611127,8.060874712709069,4.627157508086568,13.43281972649605,27.379245771605003,38.7355642147447,60.6900860033101,64.89473584929428
25,13,12.002380934832908,12.259763467356283,0.0,64.47636210354477,0.5698227588211379,8.127452490348848,4.7067695504380485,13.905656352261728,28.045738407368283,36.85933618624093,60.76898269719122,64.43928830948117
25,14,12.204187353895929,12.353391100014777,0.0,66.24914756821452,0.5312569703006332,8.296458763422862,4.422807158816915,14.382871238365754,28.393296845805235,38.435923214702875,59.7975530547853,66.18463162308012
25,15,12.29409833716996,12.346302962334693,0.0,63.88398856846114,0.6013165317529723,8.195077030668024,4.389927288896936,14.837673941698945,28.59954617798703,39.544252694918654,59.95016985302289,63.84465038130669
